#Rules created by Clement Jonquet and Mehdi Mirzapour

@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer

@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
cependant|both|termination|negated|30
comme cause d'|both|termination|negated|30
comme cause de|both|termination|negated|30
comme cause pour|both|termination|negated|30
comme cause secondaire d'|both|termination|negated|30
comme cause secondaire de|both|termination|negated|30
comme consequence d'|both|termination|negated|30
comme consequence de|both|termination|negated|30
comme etiologie d'|both|termination|negated|30
comme etiologie de|both|termination|negated|30
comme etiologie pour|both|termination|negated|30
comme etiologie secondaire pour|both|termination|negated|30
comme l'etiologie d'|both|termination|negated|30
comme l'etiologie de|both|termination|negated|30
comme l'etiologie pour|both|termination|negated|30
comme l'etiologie secondaire d'|both|termination|negated|30
comme l'etiologie secondaire de|both|termination|negated|30
comme l'etiologie secondaire pour|both|termination|negated|30
comme l'origine pour|both|termination|negated|30
comme l'origine secondaire d'|both|termination|negated|30
comme l'origine secondaire de|both|termination|negated|30
comme l'origine secondaire pour|both|termination|negated|30
comme la cause d'|both|termination|negated|30
comme la cause de|both|termination|negated|30
comme la cause secondaire d'|both|termination|negated|30
comme la cause secondaire de|both|termination|negated|30
comme la cause secondaire pour|both|termination|negated|30
comme la raison d'|both|termination|negated|30
comme la raison de|both|termination|negated|30
comme la raison pour|both|termination|negated|30
comme la raison secondaire d'|both|termination|negated|30
comme la raison secondaire de|both|termination|negated|30
comme la raison secondaire pour|both|termination|negated|30
comme la source d'|both|termination|negated|30
comme la source de|both|termination|negated|30
comme la source pour|both|termination|negated|30
comme la source secondaire d'|both|termination|negated|30
comme la source secondaire de|both|termination|negated|30
comme la source secondaire pour|both|termination|negated|30
comme origine de|both|termination|negated|30
comme origine pour|both|termination|negated|30
comme origine secondaire d'|both|termination|negated|30
comme origine secondaire de|both|termination|negated|30
comme origine secondaire pour|both|termination|negated|30
comme raison pour|both|termination|negated|30
comme raison secondaire pour|both|termination|negated|30
comme requis|forward|trigger|conditional|30
comme source de|both|termination|negated|30
comme source pour|both|termination|negated|30
comme source secondaire de|both|termination|negated|30
comme source secondaire pour|both|termination|negated|30
comme une cause d'|both|termination|negated|30
comme une cause de|both|termination|negated|30
comme une cause pour|both|termination|negated|30
comme une cause secondaire d'|both|termination|negated|30
comme une cause secondaire de|both|termination|negated|30
comme une consequence d|both|termination|negated|30
comme une consequence de|both|termination|negated|30
comme une consequence secondaire d'|both|termination|negated|30
comme une consequence secondaire de|both|termination|negated|30
comme une consequence secondaire pour|both|termination|negated|30
comme une etiologie d'e '|both|termination|negated|30
comme une etiologie de|both|termination|negated|30
comme une etiologie secondaire d'|both|termination|negated|30
comme une etiologie secondaire de|both|termination|negated|30
comme une etiologie secondaire pour|both|termination|negated|30
comme une origine d'|both|termination|negated|30
comme une origine de|both|termination|negated|30
comme une origine pour|both|termination|negated|30
comme une origine secondaire d'|both|termination|negated|30
comme une origine secondaire de|both|termination|negated|30
comme une origine secondaire pour|both|termination|negated|30
comme une raison d'|both|termination|negated|30
comme une raison de|both|termination|negated|30
comme une raison pour|both|termination|negated|30
comme une raison secondaire d'|both|termination|negated|30
comme une raison secondaire de|both|termination|negated|30
comme une raison secondaire pour|both|termination|negated|30
comme une source d'|both|termination|negated|30
comme une source de|both|termination|negated|30
comme une source secondaire d'|both|termination|negated|30
comme une source secondaire de|both|termination|negated|30
comme une source secondaire pour|both|termination|negated|30
depuis|both|termination|conditional|30
des|both|termination|conditional|30
devrait elle|forward|trigger|conditional|30
du fait que|both|termination|conditional|30
ecartent|forward|trigger|negated|30
ecarter|forward|trigger|negated|30
ecarter le patient|forward|trigger|uncertain|30
ecartons|forward|trigger|negated|30
ecartons|forward|trigger|uncertain|30
ed|both|termination|historical|30
elimine|forward|trigger|negated|30
eliminent|forward|trigger|negated|30
eliminer|forward|trigger|uncertain|30
eliminons|forward|trigger|negated|30
eliminons|forward|trigger|negated|30
en ce moment|both|termination|historical|30
en ce moment|both|termination|nonpatient|30
en contradiction avec|forward|trigger|negated|30
en dehors de|both|termination|negated|30
encore|both|termination|negated|30
est a ecarter|backward|trigger|uncertain|30
est a eliminer|backward|trigger|uncertain|30
est a exclure|backward|trigger|uncertain|30
est elimines|backward|trigger|negated|30
est infirme|backward|trigger|negated|30
est infirmee|backward|trigger|negated|30
etant ecarte|backward|trigger|uncertain|30
etant ecartee|backward|trigger|uncertain|30
etant ecartees|backward|trigger|uncertain|30
etant ecartes|backward|trigger|uncertain|30
etant elimine|backward|trigger|uncertain|30
etant eliminee|backward|trigger|uncertain|30
etant eliminees|backward|trigger|uncertain|30
etant elimines|backward|trigger|uncertain|30
etant exclu|backward|trigger|uncertain|30
etant exclue|backward|trigger|uncertain|30
etant exclues|backward|trigger|uncertain|30
etant exclus|backward|trigger|uncertain|30
etiologie d'|both|termination|negated|30
etiologie d'|both|termination|negated|30
etiologie de|both|termination|negated|30
etre ecarte|backward|trigger|uncertain|30
etre ecarte pour|forward|trigger|uncertain|30
etre ecartee|backward|trigger|uncertain|30
etre ecartee pour|forward|trigger|uncertain|30
etre ecartees|backward|trigger|uncertain|30
etre ecartees pour|forward|trigger|uncertain|30
etre ecartes|backward|trigger|uncertain|30
etre ecartes pour|forward|trigger|uncertain|30
etre elimine|backward|trigger|uncertain|30
etre eliminee|backward|trigger|uncertain|30
etre eliminees|backward|trigger|uncertain|30
etre elimines|backward|trigger|uncertain|30
etre exclu|backward|trigger|uncertain|30
etre exclue|backward|trigger|uncertain|30
etre exclues|backward|trigger|uncertain|30
etre exclus|backward|trigger|uncertain|30
etre infirme|backward|trigger|uncertain|30
etre infirmee|backward|trigger|uncertain|30
etre infirmees|backward|trigger|uncertain|30
etre infirmes|backward|trigger|uncertain|30
evaluer pour|forward|trigger|negated|30
excluent|forward|trigger|negated|30
excluons|forward|trigger|uncertain|30
fam hx|forward|trigger|nonpatient|30
familiales|forward|trigger|nonpatient|30
frere|forward|trigger|nonpatient|30
freres|forward|trigger|nonpatient|30
grand mere|forward|trigger|nonpatient|30
grand mere|forward|trigger|nonpatient|30
grand parent|forward|trigger|nonpatient|30
grand pere|forward|trigger|nonpatient|30
grand pere|forward|trigger|nonpatient|30
grand-tante|forward|trigger|nonpatient|30
grands parents|forward|trigger|nonpatient|30
grands-peres|forward|trigger|nonpatient|30
histoire|forward|trigger|historical|30
hormis|both|termination|negated|30
hors|both|termination|negated|30
improbable|backward|trigger|negated|30
incoherent avec|forward|trigger|negated|30
infirme|forward|trigger|negated|1
infirment|forward|trigger|negated|30
infirmer|forward|trigger|negated|30
jamais presente|forward|trigger|negated|30
l'a ecarte|forward|trigger|negated|30
l'a ecartee|forward|trigger|negated|30
l'a eliminee|forward|trigger|negated|30
l'a exclu|forward|trigger|negated|30
l'a exclue|forward|trigger|negated|30
l'eliminer|forward|trigger|uncertain|30
l'exclure|forward|trigger|uncertain|30
maintenant resolue|backward|trigger|negated|30
maintenant resolues|backward|trigger|negated|30
maintenant resolus|backward|trigger|negated|30
malgre|both|termination|negated|30
maman|forward|trigger|nonpatient|30
mere|forward|trigger|nonpatient|30
montre pas|forward|trigger|negated|30
montrent pas|forward|trigger|negated|30
n'a pas|forward|trigger|negated|30
n'a pas ecarte|backward|trigger|uncertain|30
n'apparaissent pas|forward|trigger|negated|30
n'est pas visible|backward|trigger|negated|30
n'est plus visible|backward|trigger|negated|30
n'importe quel autre|forward|trigger|negated|30
ne cause pas|both|pseudo|negated|30
ne causent pas|both|pseudo|negated|30
ne contiennent pas|forward|trigger|negated|30
ne contient pas|forward|trigger|negated|30
ne demontre pas|forward|trigger|negated|30
ne demontrent pas|forward|trigger|negated|30
ne pas apparaitre|forward|trigger|negated|30
ne pas apprecier|forward|trigger|negated|30
ne pas avoir|forward|trigger|negated|30
ne pas demontrer|forward|trigger|negated|30
ne pas se plaindre|forward|trigger|negated|30
ne peuvent pas|forward|trigger|negated|30
ne pouvons pas|forward|trigger|negated|30
ne presente pas|forward|trigger|negated|30
ne ressent pas|forward|trigger|negated|30
ne revele pas|forward|trigger|negated|30
ne revelent pas|forward|trigger|negated|30
ne sais pas|forward|trigger|negated|30
ne voit pas|forward|trigger|negated|30
negatif pour|forward|trigger|negated|30
negative pour|forward|trigger|negated|30
neveu|forward|trigger|nonpatient|30
ni d'|forward|trigger|negated|30
ni de|forward|trigger|negated|30
niant|forward|trigger|negated|30
nie|forward|trigger|negated|30
niece|forward|trigger|nonpatient|30
niece|forward|trigger|nonpatient|30
non|forward|trigger|negated|1
non associee a|forward|trigger|negated|30
non associee avec|forward|trigger|negated|30
non associees a|forward|trigger|negated|30
non associees avec|forward|trigger|negated|30
non associes a|forward|trigger|negated|30
non associes avec|forward|trigger|negated|30
non diagnostique|backward|trigger|negated|30
non seulement|both|pseudo|negated|30
non significative|backward|trigger|negated|30
nullement|forward|trigger|negated|30
oncle|forward|trigger|nonpatient|30
ont ete ecartees|backward|trigger|negated|30
ont ete ecartes|backward|trigger|negated|30
ont ete eliminees|backward|trigger|negated|30
ont ete elimines|backward|trigger|negated|30
ont ete exclues|backward|trigger|negated|30
ont ete exclus|backward|trigger|negated|30
ont ete infirmees|backward|trigger|negated|30
ont ete infirmes|backward|trigger|negated|30
oriente pas vers|forward|trigger|negated|30
orientent pas vers|forward|trigger|negated|30
origin d'|both|termination|negated|30
origin de|both|termination|negated|30
origine d'|both|termination|negated|30
origines d'|both|termination|negated|30
outre que|both|termination|negated|30
parce que|both|termination|negated|30
pas apparu|forward|trigger|negated|30
pas apparue|forward|trigger|negated|30
pas apparues|forward|trigger|negated|30
pas apparus|forward|trigger|negated|30
pas associee a|forward|trigger|negated|30
pas associee avec|forward|trigger|negated|30
pas associees a|forward|trigger|negated|30
pas associees avec|forward|trigger|negated|30
pas associes a|forward|trigger|negated|30
pas associes avec|forward|trigger|negated|30
pas certain si|both|pseudo|negated|30
pas connue pour avoir|forward|trigger|negated|30
pas connues pour avoir|forward|trigger|negated|30
pas connus pour avoir|forward|trigger|negated|30
pas d'antecedent|both|pseudo|historical|30
pas d'antecedents|both|pseudo|historical|30
pas d'argument en faveur de|forward|trigger|negated|30
pas d'argument evident en faveur de|forward|trigger|negated|30
pas d'augmentation|both|pseudo|negated|30
pas d'autre indice|forward|trigger|negated|30
pas d'autre preuve|forward|trigger|negated|30
pas d'autres indices|forward|trigger|negated|30
pas d'autres preuves|forward|trigger|negated|30
pas d'indice|forward|trigger|negated|30
pas d'indices|forward|trigger|negated|30
pas de changement|both|pseudo|negated|30
pas de changements|both|pseudo|negated|30
pas de plainte de|forward|trigger|negated|30
pas de preuve|forward|trigger|negated|30
pas de preuve de|forward|trigger|negated|30
pas de preuves|forward|trigger|negated|30
pas de preuves de|forward|trigger|negated|30
pas de risque d'|forward|trigger|negated|30
pas de risque de|forward|trigger|negated|30
pas de risques d'|forward|trigger|negated|30
pas de risques de|forward|trigger|negated|30
pas de signe d'|forward|trigger|negated|30
pas de signe de|forward|trigger|negated|30
pas de signes d'|forward|trigger|negated|30
pas de signes de|forward|trigger|negated|30
pas de suggestion de|forward|trigger|negated|30
pas developpe|forward|trigger|negated|30
pas ecarte|backward|trigger|uncertain|30
pas ecartee|backward|trigger|uncertain|30
pas ecartees|backward|trigger|uncertain|30
pas ecartes|backward|trigger|uncertain|30
pas ete diagnostique|backward|trigger|negated|30
pas ete diagnostiquee|backward|trigger|negated|30
pas ete diagnostiquees|backward|trigger|negated|30
pas ete diagnostiques|backward|trigger|negated|30
pas ete ecarte|backward|trigger|uncertain|30
pas ete ecartee|backward|trigger|uncertain|30
pas ete ecartees|backward|trigger|uncertain|30
pas ete ecartes|backward|trigger|uncertain|30
pas ete eliminee|backward|trigger|uncertain|30
pas ete eliminees|backward|trigger|uncertain|30
pas ete elimines|backward|trigger|uncertain|30
pas ete exclue|backward|trigger|uncertain|30
pas ete exclues|backward|trigger|uncertain|30
pas ete exclus|backward|trigger|uncertain|30
pas etre|forward|trigger|negated|30
pas eu|forward|trigger|negated|30
pas la moindre|forward|trigger|negated|30
pas le moindre|forward|trigger|negated|30
pas remarquable pour|forward|trigger|negated|30
pas se plaindre|forward|trigger|negated|30
pas significative|backward|trigger|negated|30
paternel|forward|trigger|nonpatient|30
peres|forward|trigger|nonpatient|30
peu d'antecedent|both|pseudo|historical|30
peu d'antecedents|both|pseudo|historical|30
peut etre ecarte|backward|trigger|uncertain|30
peut etre ecarte pour|backward|trigger|uncertain|30
peut etre ecartee|backward|trigger|uncertain|30
peut etre ecartee pour|backward|trigger|uncertain|30
peut etre ecartees|backward|trigger|uncertain|30
peut etre ecartes|backward|trigger|uncertain|30
peut etre elimine pour|backward|trigger|uncertain|30
peut etre eliminee pour|backward|trigger|uncertain|30
peut etre exclu pour|backward|trigger|uncertain|30
peut etre exclue pour|backward|trigger|uncertain|30
peut l'ecarter|backward|trigger|negated|30
peut l'ecarter contre|backward|trigger|negated|30
peut l'eliminer|backward|trigger|negated|30
peut l'eliminer contre|backward|trigger|negated|30
peut l'exclure|backward|trigger|negated|30
peut l'exclure contre|backward|trigger|negated|30
peuvent ecarter|forward|trigger|negated|30
peuvent eliminer|forward|trigger|negated|30
peuvent etre ecartees pour|backward|trigger|uncertain|30
peuvent etre ecartes pour|backward|trigger|uncertain|30
peuvent etre eliminees pour|backward|trigger|uncertain|30
peuvent etre elimines pour|backward|trigger|uncertain|30
peuvent etre exclues pour|backward|trigger|uncertain|30
peuvent etre exclus pour|backward|trigger|uncertain|30
peuvent exclure|forward|trigger|negated|30
peuvent l'ecarter|backward|trigger|negated|30
peuvent l'ecarter contre|backward|trigger|negated|30
peuvent l'eliminer|backward|trigger|negated|30
peuvent l'eliminer contre|backward|trigger|negated|30
peuvent l'exclure|backward|trigger|negated|30
peuvent l'exclure contre|backward|trigger|negated|30
pourraient etre ecartees|backward|trigger|uncertain|30
pourraient etre ecartees pour|forward|trigger|uncertain|30
pourraient etre ecartes|backward|trigger|uncertain|30
pourraient etre ecartes pour|forward|trigger|uncertain|30
pourraient etre eliminees pour|forward|trigger|uncertain|30
pourraient etre elimines pour|forward|trigger|uncertain|30
pourraient etre exclues pour|forward|trigger|uncertain|30
pourraient etre exclus pour|forward|trigger|uncertain|30
pourrait etre ecarte|backward|trigger|uncertain|30
pourrait etre ecarte pour|forward|trigger|uncertain|30
pourrait etre ecartee|backward|trigger|uncertain|30
pourrait etre ecartee pour|forward|trigger|uncertain|30
pourrait etre elimine pour|forward|trigger|uncertain|30
pourrait etre eliminee pour|forward|trigger|uncertain|30
pourrait etre exclu pour|forward|trigger|uncertain|30
pourrait etre exclue pour|forward|trigger|uncertain|30
precedent|forward|trigger|historical|1
precedents|forward|trigger|historical|1
presentant|both|termination|historical|30
presentant|both|termination|nonpatient|30
prevenir|forward|trigger|negated|30
prevention|forward|trigger|negated|30
prophylaxie|backward|trigger|negated|30
que|both|termination|nonpatient|30
qui|both|termination|conditional|30
qui|both|termination|nonpatient|30
quoiqu'|both|termination|negated|30
quoique|both|termination|negated|30
r/o|forward|trigger|uncertain|30
raisons d'|both|termination|negated|30
refuse|forward|trigger|negated|30
refuse|forward|trigger|negated|30
resolu|forward|trigger|negated|30
resoluent|forward|trigger|negated|30
retourne|forward|trigger|conditional|30
revele pas|forward|trigger|negated|30
revelent pas|forward|trigger|negated|30
sa|both|termination|conditional|30
sa|both|termination|nonpatient|30
sans aucune preuve de|forward|trigger|negated|30
se plaint pas|forward|trigger|negated|30
sera ecarte|backward|trigger|uncertain|30
sera ecartee|backward|trigger|uncertain|30
sera elimine|backward|trigger|uncertain|30
sera eliminee|backward|trigger|uncertain|30
seront ecartees|backward|trigger|uncertain|30
seront ecartes|backward|trigger|uncertain|30
seront eliminees|backward|trigger|uncertain|30
seront elimines|backward|trigger|uncertain|30
service d'urgence|both|termination|historical|30
service d'urgences|both|termination|historical|30
son|both|termination|conditional|30
son|both|termination|nonpatient|30
stipule|both|termination|historical|30
stipule|both|termination|nonpatient|30
suffisant pour l'ecarter|backward|trigger|negated|30
suffisant pour l'eliminer|backward|trigger|negated|30
suffisant pour l'exclure|backward|trigger|negated|30
suffisante pour l'ecarter|backward|trigger|negated|30
suffisante pour l'eliminer|backward|trigger|negated|30
suffisante pour l'exclure|backward|trigger|negated|30
suffisantes pour ecarter|forward|trigger|negated|30
suffisantes pour eliminer|forward|trigger|negated|30
suffisantes pour exclure|forward|trigger|negated|30
suffisantes pour l'ecarter|backward|trigger|negated|30
suffisantes pour l'eliminer|backward|trigger|negated|30
suffisantes pour l'exclure|backward|trigger|negated|30
suffisants pour ecarter|forward|trigger|negated|30
suffisants pour eliminer|forward|trigger|negated|30
suffisants pour exclure|forward|trigger|negated|30
suffisants pour l'ecarter|backward|trigger|negated|30
suffisants pour l'eliminer|backward|trigger|negated|30
suffisants pour l'exclure|backward|trigger|negated|30
urgences|both|termination|historical|30
\> 0 mois de|forward|trigger|historical|30
\> 0 ans de|forward|trigger|historical|30
\> 0 annee de|forward|trigger|historical|30
\> 0 annees de|forward|trigger|historical|30
\> 1 semaines de|forward|trigger|historical|30
\> 13 jours de|forward|trigger|historical|30
il y a \> 0 mois|backward|trigger|historical|30
il y a \> 0 an|backward|trigger|historical|30
il y a \> 0 ans|backward|trigger|historical|30
il y a \> 1 semaines|backward|trigger|historical|30
: non|backward|trigger|negated|10
: neg|backward|trigger|negated|10
: neg|backward|trigger|negated|10
: negatif|backward|trigger|negated|10
: negatif|backward|trigger|negated|10
: negative|backward|trigger|negated|10
: nul|backward|trigger|negated|10
: nulle|backward|trigger|negated|10
\w+ aucun|forward|trigger|negated|10
\w+ aucune|forward|trigger|negated|10
\w+ nul|forward|trigger|negated|10
\w+ nulle|forward|trigger|negated|10
absence d'un|forward|trigger|negated|10
absence d'une|forward|trigger|negated|10
manque de|forward|trigger|negated|10
manque d'un|forward|trigger|negated|10
manque d'une|forward|trigger|negated|10
omission de|forward|trigger|negated|10
omission d'un|forward|trigger|negated|10
omission d'une|forward|trigger|negated|10
privation de|forward|trigger|negated|10
privation d'un|forward|trigger|negated|10
privation d'une|forward|trigger|negated|10
carence de|forward|trigger|negated|10
carence d'un|forward|trigger|negated|10
carence d'une|forward|trigger|negated|10
defaillance de|forward|trigger|negated|10
defaillance d'un|forward|trigger|negated|10
defaillance d'une|forward|trigger|negated|10
defection de|forward|trigger|negated|10
defection d'un|forward|trigger|negated|10
defection d'une|forward|trigger|negated|10
lacune de|forward|trigger|negated|10
lacune d'un|forward|trigger|negated|10
lacune d'une|forward|trigger|negated|10
deficit de|forward|trigger|negated|10
deficit d'un|forward|trigger|negated|10
deficit d'une|forward|trigger|negated|10
deficience de|forward|trigger|negated|10
deficience d'un|forward|trigger|negated|10
deficience d'une|forward|trigger|negated|10
suffisant pour ecarter|forward|trigger|negated|10
suffisant pour rejeter|forward|trigger|negated|10
suffisant pour eliminer|forward|trigger|negated|10
suffisant pour evincer|forward|trigger|negated|10
suffisant pour supprimer|forward|trigger|negated|10
suffisant pour proscrire|forward|trigger|negated|10
suffisant pour ôter|forward|trigger|negated|10
suffisant pour exclure|forward|trigger|negated|10
suffisant pour eloigner|forward|trigger|negated|10
suffisant pour refuser|forward|trigger|negated|10
suffisant pour se defaire|forward|trigger|negated|10
suffisante pour ecarter|forward|trigger|negated|10
suffisante pour rejeter|forward|trigger|negated|10
suffisante pour eliminer|forward|trigger|negated|10
suffisante pour evincer|forward|trigger|negated|10
suffisante pour supprimer|forward|trigger|negated|10
suffisante pour proscrire|forward|trigger|negated|10
suffisante pour ôter|forward|trigger|negated|10
suffisante pour exclure|forward|trigger|negated|10
suffisante pour eloigner|forward|trigger|negated|10
suffisante pour refuser|forward|trigger|negated|10
suffisante pour se defaire|forward|trigger|negated|10
passable pour ecarter|forward|trigger|negated|10
passable pour rejeter|forward|trigger|negated|10
passable pour eliminer|forward|trigger|negated|10
passable pour evincer|forward|trigger|negated|10
passable pour supprimer|forward|trigger|negated|10
passable pour proscrire|forward|trigger|negated|10
passable pour ôter|forward|trigger|negated|10
passable pour exclure|forward|trigger|negated|10
passable pour eloigner|forward|trigger|negated|10
passable pour refuser|forward|trigger|negated|10
passable pour se defaire|forward|trigger|negated|10
satisfaisant pour ecarter|forward|trigger|negated|10
satisfaisant pour rejeter|forward|trigger|negated|10
satisfaisant pour eliminer|forward|trigger|negated|10
satisfaisant pour evincer|forward|trigger|negated|10
satisfaisant pour supprimer|forward|trigger|negated|10
satisfaisant pour proscrire|forward|trigger|negated|10
satisfaisant pour ôter|forward|trigger|negated|10
satisfaisant pour exclure|forward|trigger|negated|10
satisfaisant pour eloigner|forward|trigger|negated|10
satisfaisant pour refuser|forward|trigger|negated|10
satisfaisant pour se defaire|forward|trigger|negated|10
satisfaisante pour ecarter|forward|trigger|negated|10
satisfaisante pour rejeter|forward|trigger|negated|10
satisfaisante pour eliminer|forward|trigger|negated|10
satisfaisante pour evincer|forward|trigger|negated|10
satisfaisante pour supprimer|forward|trigger|negated|10
satisfaisante pour proscrire|forward|trigger|negated|10
satisfaisante pour ôter|forward|trigger|negated|10
satisfaisante pour exclure|forward|trigger|negated|10
satisfaisante pour eloigner|forward|trigger|negated|10
satisfaisante pour refuser|forward|trigger|negated|10
satisfaisante pour se defaire|forward|trigger|negated|10
supportable pour ecarter|forward|trigger|negated|10
supportable pour rejeter|forward|trigger|negated|10
supportable pour eliminer|forward|trigger|negated|10
supportable pour evincer|forward|trigger|negated|10
supportable pour supprimer|forward|trigger|negated|10
supportable pour proscrire|forward|trigger|negated|10
supportable pour ôter|forward|trigger|negated|10
supportable pour exclure|forward|trigger|negated|10
supportable pour eloigner|forward|trigger|negated|10
supportable pour refuser|forward|trigger|negated|10
supportable pour se defaire|forward|trigger|negated|10
raisonnable pour ecarter|forward|trigger|negated|10
raisonnable pour rejeter|forward|trigger|negated|10
raisonnable pour eliminer|forward|trigger|negated|10
raisonnable pour evincer|forward|trigger|negated|10
raisonnable pour supprimer|forward|trigger|negated|10
raisonnable pour proscrire|forward|trigger|negated|10
raisonnable pour ôter|forward|trigger|negated|10
raisonnable pour exclure|forward|trigger|negated|10
raisonnable pour eloigner|forward|trigger|negated|10
raisonnable pour refuser|forward|trigger|negated|10
raisonnable pour se defaire|forward|trigger|negated|10
acceptable pour ecarter|forward|trigger|negated|10
acceptable pour rejeter|forward|trigger|negated|10
acceptable pour eliminer|forward|trigger|negated|10
acceptable pour evincer|forward|trigger|negated|10
acceptable pour supprimer|forward|trigger|negated|10
acceptable pour proscrire|forward|trigger|negated|10
acceptable pour ôter|forward|trigger|negated|10
acceptable pour exclure|forward|trigger|negated|10
acceptable pour eloigner|forward|trigger|negated|10
acceptable pour refuser|forward|trigger|negated|10
acceptable pour se defaire|forward|trigger|negated|10
assez pour ecarter|forward|trigger|negated|10
assez pour rejeter|forward|trigger|negated|10
assez pour eliminer|forward|trigger|negated|10
assez pour evincer|forward|trigger|negated|10
assez pour supprimer|forward|trigger|negated|10
assez pour proscrire|forward|trigger|negated|10
assez pour ôter|forward|trigger|negated|10
assez pour exclure|forward|trigger|negated|10
assez pour eloigner|forward|trigger|negated|10
assez pour refuser|forward|trigger|negated|10
assez pour se defaire|forward|trigger|negated|10
correct pour ecarter|forward|trigger|negated|10
correct pour rejeter|forward|trigger|negated|10
correct pour eliminer|forward|trigger|negated|10
correct pour evincer|forward|trigger|negated|10
correct pour supprimer|forward|trigger|negated|10
correct pour proscrire|forward|trigger|negated|10
correct pour ôter|forward|trigger|negated|10
correct pour exclure|forward|trigger|negated|10
correct pour eloigner|forward|trigger|negated|10
correct pour refuser|forward|trigger|negated|10
correct pour se defaire|forward|trigger|negated|10
correcte pour ecarter|forward|trigger|negated|10
correcte pour rejeter|forward|trigger|negated|10
correcte pour eliminer|forward|trigger|negated|10
correcte pour evincer|forward|trigger|negated|10
correcte pour supprimer|forward|trigger|negated|10
correcte pour proscrire|forward|trigger|negated|10
correcte pour ôter|forward|trigger|negated|10
correcte pour exclure|forward|trigger|negated|10
correcte pour eloigner|forward|trigger|negated|10
correcte pour refuser|forward|trigger|negated|10
correcte pour se defaire|forward|trigger|negated|10
tolerable pour ecarter|forward|trigger|negated|10
tolerable pour rejeter|forward|trigger|negated|10
tolerable pour eliminer|forward|trigger|negated|10
tolerable pour evincer|forward|trigger|negated|10
tolerable pour supprimer|forward|trigger|negated|10
tolerable pour proscrire|forward|trigger|negated|10
tolerable pour ôter|forward|trigger|negated|10
tolerable pour exclure|forward|trigger|negated|10
tolerable pour eloigner|forward|trigger|negated|10
tolerable pour refuser|forward|trigger|negated|10
tolerable pour se defaire|forward|trigger|negated|10
bon pour ecarter|forward|trigger|negated|10
bon pour rejeter|forward|trigger|negated|10
bon pour eliminer|forward|trigger|negated|10
bon pour evincer|forward|trigger|negated|10
bon pour supprimer|forward|trigger|negated|10
bon pour proscrire|forward|trigger|negated|10
bon pour ôter|forward|trigger|negated|10
bon pour exclure|forward|trigger|negated|10
bon pour eloigner|forward|trigger|negated|10
bon pour refuser|forward|trigger|negated|10
bon pour se defaire|forward|trigger|negated|10
pas mal pour ecarter|forward|trigger|negated|10
pas mal pour rejeter|forward|trigger|negated|10
pas mal pour eliminer|forward|trigger|negated|10
pas mal pour evincer|forward|trigger|negated|10
pas mal pour supprimer|forward|trigger|negated|10
pas mal pour proscrire|forward|trigger|negated|10
